date,cash,positions_value,total_value,num_positions,daily_return,peak,drawdown,month,year
2024-03-07,93825539.38389999,6438910.0,100264449.38389999,3,0.00043803391889052357,100361364.06349999,-0.09656572576941178,2024-03,2024
2024-03-08,93825539.38389999,6498204.0,100323743.38389999,3,0.0005913761095217573,100361364.06349999,-0.03748522148044667,2024-03,2024
2024-03-11,93825539.38389999,6583580.0,100409119.38389999,3,0.000851004927849397,100409119.38389999,0.0,2024-03,2024
2024-03-12,93825539.38389999,6603052.0,100428591.38389999,3,0.0001939266086534719,100428591.38389999,0.0,2024-03,2024
2024-03-13,93825539.38389999,6641138.0,100466677.38389999,3,0.00037923463303801697,100466677.38389999,0.0,2024-03,2024
2024-03-14,92054845.18029998,8365890.0,100420735.18029998,4,-0.0004572879764347393,100466677.38389999,-0.04572879764347284,2024-03,2024
2024-03-15,92054845.18029998,8400896.0,100455741.18029998,4,0.000348593345160797,100466677.38389999,-0.010885403881941126,2024-03,2024
2024-03-18,92054845.18029998,8396740.0,100451585.18029998,4,-4.1371453250671486e-05,100466677.38389999,-0.015022098862028132,2024-03,2024
2024-03-19,92054845.18029998,8335742.0,100390587.18029998,4,-0.000607237804067684,100466677.38389999,-0.07573675728246781,2024-03,2024
2024-03-20,90141223.13394998,10346931.0,100488154.13394998,5,0.0009718735231099007,100488154.13394998,0.0,2024-03,2024
2024-03-21,91954522.07514998,8470698.0,100425220.07514998,4,-0.0006262833598884576,100488154.13394998,-0.06262833598884335,2024-03,2024
2024-03-22,91954522.07514998,8464584.0,100419106.07514998,4,-6.088112125046674e-05,100488154.13394998,-0.06871263523057296,2024-03,2024
2024-03-25,91954522.07514998,8569305.0,100523827.07514998,4,0.0010428393967343297,100523827.07514998,0.0,2024-03,2024
2024-03-26,91954522.07514998,8597802.0,100552324.07514998,4,0.00028348502866593073,100552324.07514998,0.0,2024-03,2024
2024-03-27,91954522.07514998,8595088.0,100549610.07514998,4,-2.699092263613867e-05,100552324.07514998,-0.0026990922636175294,2024-03,2024
2024-03-28,91954522.07514998,8536479.0,100491001.07514998,4,-0.0005828863976319321,100552324.07514998,-0.060986158762644724,2024-03,2024
2024-03-29,91954522.07514998,8501455.0,100455977.07514998,4,-0.00034852872023638515,100552324.07514998,-0.09581777535842231,2024-03,2024
